数据库：分省年度数据
指标：城乡居民社会养老保险累计结余(亿元)
时间：最近10年
地区,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京市,127.5,116.8,101.4,88.7,,,,,,
天津市,147.3,127.7,106.4,73.1,,,,,,
河北省,211.2,169.3,133.2,93.3,,,,,,
山西省,122.6,99.4,76.9,62.8,,,,,,
内蒙古自治区,67.3,62.7,58.1,38.1,,,,,,
辽宁省,57.3,50.5,42.0,30.5,,,,,,
吉林省,40.1,35.5,30.1,20.6,,,,,,
黑龙江省,54.2,50.4,44.1,30.1,,,,,,
上海市,74.0,74.2,72.0,72.3,,,,,,
江苏省,441.2,379.9,340.3,294.7,,,,,,
浙江省,144.3,139.4,129.5,112.8,,,,,,
安徽省,220.6,176.7,132.8,84.5,,,,,,
福建省,102.8,82.6,63.9,46.2,,,,,,
江西省,109.7,89.7,39.7,49.3,,,,,,
山东省,568.2,469.5,357.8,286.0,,,,,,
河南省,293.9,243.3,189.8,129.6,,,,,,
湖北省,165.7,135.6,107.7,73.0,,,,,,
湖南省,184.1,143.6,110.7,68.1,,,,,,
广东省,357.3,297.7,219.5,163.4,,,,,,
广西壮族自治区,88.9,66.1,5.1,35.7,,,,,,
海南省,34.9,20.4,15.2,9.9,,,,,,
重庆市,94.1,89.2,66.9,40.5,,,,,,
四川省,303.0,255.1,215.5,161.3,,,,,,
贵州省,75.8,59.8,44.0,28.1,,,,,,
云南省,157.1,124.7,94.4,48.7,,,,,,
西藏自治区,11.5,9.1,6.7,2.9,,,,,,
陕西省,148.5,122.1,90.7,64.5,,,,,,
甘肃省,95.9,78.2,53.0,51.3,,,,,,
青海省,21.6,16.5,12.0,8.9,,,,,,
宁夏回族自治区,19.3,16.1,12.5,8.5,,,,,,
新疆维吾尔自治区,52.2,42.6,33.9,24.9,,,,,,
数据来源：国家统计局
